지번주소,UMAP1,UMAP2,OPTICS_cluster_without_noise
서울특별시 광진구 광장동  102,9.5829315,20.618004,0
서울특별시 광진구 광장동  104,9.55085,20.616909,0
서울특별시 광진구 광장동  105,9.613869,20.606441,0
서울특별시 광진구 광장동  106,9.591617,20.61406,0
서울특별시 광진구 광장동  107,9.587208,20.618753,0
서울특별시 광진구 광장동  108,9.572693,20.61785,0
서울특별시 광진구 광장동  110,9.571157,20.618982,0
서울특별시 광진구 광장동  112,9.560759,20.627508,0
서울특별시 광진구 광장동  114,9.569249,20.622438,0
서울특별시 광진구 광장동  117,9.583874,20.62968,0
서울특별시 광진구 광장동  118,9.557022,20.668747,0
서울특별시 광진구 광장동  120,9.579932,20.626701,0
서울특별시 광진구 광장동  121,9.574652,20.636044,0
서울특별시 광진구 광장동  124,9.55505,20.637863,0
서울특별시 광진구 광장동  125,9.592499,20.616858,0
서울특별시 광진구 광장동  127,9.55452,20.64101,0
서울특별시 광진구 광장동  130,9.54077,20.645302,0
서울특별시 광진구 광장동  136,9.513792,20.682566,0
서울특별시 광진구 광장동  148-11,9.855357,20.573801,2
서울특별시 광진구 광장동  148-21,9.7981415,20.593668,2
서울특별시 광진구 광장동  148-22,9.80296,20.588032,2
서울특별시 광진구 광장동  148-3,9.800438,20.59065,2
서울특별시 광진구 광장동  182-1,9.810586,20.588184,2
서울특별시 광진구 광장동  182-12,9.515134,20.77235,1
서울특별시 광진구 광장동  182-14,9.517113,20.766848,1
서울특별시 광진구 광장동  182-3,9.513278,20.775385,1
서울특별시 광진구 광장동  182-8,9.813262,20.587103,2
서울특별시 광진구 광장동  182-9,9.81517,20.587292,2
서울특별시 광진구 광장동  184-1,9.563721,20.71895,0
서울특별시 광진구 광장동  184-10,9.5136795,20.774588,1
서울특별시 광진구 광장동  184-11,9.506262,20.785988,1
서울특별시 광진구 광장동  184-3,9.494434,20.79731,1
서울특별시 광진구 광장동  201-2,21.604326,12.101719,73
서울특별시 광진구 광장동  210-1,1.5135845,16.638578,665
서울특별시 광진구 광장동  237,10.766367,19.890957,9
서울특별시 광진구 광장동  237-9,10.814003,19.894678,9
서울특별시 광진구 광장동  238,10.892832,19.811356,9
서울특별시 광진구 광장동  239-6,10.889696,19.816568,9
서울특별시 광진구 광장동  240-1,10.890239,19.819601,9
서울특별시 광진구 광장동  242-1,10.894067,19.82842,9
서울특별시 광진구 광장동  243-12,10.878863,19.840315,9
서울특별시 광진구 광장동  243-8,10.825031,19.893265,9
서울특별시 광진구 광장동  244-21,-0.70104957,17.274729,727
서울특별시 광진구 광장동  244-23,-0.59860814,17.17819,725
서울특별시 광진구 광장동  244-24,-0.6196702,17.199589,725
서울특별시 광진구 광장동  244-26,10.88653,19.828508,9
서울특별시 광진구 광장동  244-27,10.882329,19.832342,9
서울특별시 광진구 광장동  244-28,10.890366,19.823147,9
서울특별시 광진구 광장동  244-6,-0.61155474,17.192915,725
서울특별시 광진구 광장동  244-7,-0.71196216,17.284883,727
서울특별시 광진구 광장동  245-10,-0.7117551,17.284843,727
서울특별시 광진구 광장동  245-12,-0.7020193,17.27531,727
서울특별시 광진구 광장동  245-13,-0.67767256,17.252066,726
서울특별시 광진구 광장동  245-2,10.872837,19.847591,9
서울특별시 광진구 광장동  245-4,-0.70703435,17.280115,727
서울특별시 광진구 광장동  245-7,-0.7190653,17.292116,727
서울특별시 광진구 광장동  245-8,-0.7133294,17.28678,727
서울특별시 광진구 광장동  245-9,-0.7151626,17.288395,727
서울특별시 광진구 광장동  246-10,10.895492,19.80951,9
서울특별시 광진구 광장동  246-12,10.884294,19.827385,9
서울특별시 광진구 광장동  246-6,10.888578,19.823307,9
서울특별시 광진구 광장동  247,-0.6189874,17.199347,725
서울특별시 광진구 광장동  247-11,-0.64201844,17.217945,725
서울특별시 광진구 광장동  247-13,-0.6761505,17.25101,726
서울특별시 광진구 광장동  247-17,10.889514,19.817802,9
서울특별시 광진구 광장동  247-18,10.884558,19.825336,9
서울특별시 광진구 광장동  247-24,10.890015,19.818333,9
서울특별시 광진구 광장동  248-10,-0.67108876,17.246126,726
서울특별시 광진구 광장동  248-19,-0.6732437,17.248001,726
서울특별시 광진구 광장동  248-2,-0.676705,17.25105,726
서울특별시 광진구 광장동  248-20,10.862834,19.853725,9
서울특별시 광진구 광장동  248-22,-0.6249205,17.204256,725
서울특별시 광진구 광장동  248-24,-0.7099753,17.28377,727
서울특별시 광진구 광장동  248-25,10.869482,19.84529,9
서울특별시 광진구 광장동  248-28,-0.61911017,17.198486,725
서울특별시 광진구 광장동  248-3,-0.67776597,17.252272,726
서울특별시 광진구 광장동  248-5,-0.6732108,17.247826,726
서울특별시 광진구 광장동  248-7,-0.6741437,17.248629,726
서울특별시 광진구 광장동  249-1,-0.6690828,17.246181,726
서울특별시 광진구 광장동  249-7,-0.61084336,17.192469,725
서울특별시 광진구 광장동  256-3,-0.70464313,17.278486,727
서울특별시 광진구 광장동  256-4,-0.7109702,17.28461,727
서울특별시 광진구 광장동  257-10,-0.67225534,17.246672,726
서울특별시 광진구 광장동  257-12,-0.67517823,17.249493,726
서울특별시 광진구 광장동  257-2,-0.67319953,17.25047,726
서울특별시 광진구 광장동  257-3,-0.701024,17.275476,727
서울특별시 광진구 광장동  257-5,-0.7019238,17.27658,727
서울특별시 광진구 광장동  257-7,-0.7040645,17.277916,727
서울특별시 광진구 광장동  257-8,-0.6737303,17.251312,726
서울특별시 광진구 광장동  257-9,-0.6393122,17.218151,725
서울특별시 광진구 광장동  258-10,10.558931,20.125864,7
서울특별시 광진구 광장동  258-11,10.539835,20.147404,7
서울특별시 광진구 광장동  258-12,10.55971,20.128582,7
서울특별시 광진구 광장동  258-13,10.565269,20.121307,7
서울특별시 광진구 광장동  258-14,10.554061,20.135038,7
서울특별시 광진구 광장동  258-15,10.560804,20.13219,7
서울특별시 광진구 광장동  258-16,10.555409,20.133131,7
서울특별시 광진구 광장동  258-18,10.627077,20.054262,8
서울특별시 광진구 광장동  258-19,10.605278,20.07731,8
서울특별시 광진구 광장동  258-20,10.564601,20.117413,7
서울특별시 광진구 광장동  258-25,-0.59140563,17.173876,725
서울특별시 광진구 광장동  258-26,-0.5959871,17.176033,725
서울특별시 광진구 광장동  258-28,10.622162,20.060091,8
서울특별시 광진구 광장동  258-3,-0.6549622,17.232563,726
서울특별시 광진구 광장동  258-30,10.617117,20.063688,8
서울특별시 광진구 광장동  258-31,10.602138,20.082888,8
서울특별시 광진구 광장동  258-32,10.554154,20.130295,7
서울특별시 광진구 광장동  258-33,10.562096,20.128128,7
서울특별시 광진구 광장동  258-34,10.552259,20.137182,7
서울특별시 광진구 광장동  258-36,-0.5899173,17.171682,725
서울특별시 광진구 광장동  258-37,-0.58445436,17.165937,725
서울특별시 광진구 광장동  258-38,-0.5853124,17.166763,725
서울특별시 광진구 광장동  258-39,-0.59162986,17.17204,725
서울특별시 광진구 광장동  258-4,10.552883,20.13773,7
서울특별시 광진구 광장동  258-40,-0.59342545,17.173561,725
서울특별시 광진구 광장동  258-41,-0.6014009,17.181017,725
서울특별시 광진구 광장동  258-42,-0.5973752,17.177385,725
서울특별시 광진구 광장동  258-7,10.553392,20.137165,7
서울특별시 광진구 광장동  258-8,10.572377,20.106735,7
서울특별시 광진구 광장동  259-1,10.616503,20.07842,8
서울특별시 광진구 광장동  259-3,-0.6407255,17.219095,725
서울특별시 광진구 광장동  259-7,10.609508,20.080482,8
서울특별시 광진구 광장동  259-8,10.624115,20.071505,8
서울특별시 광진구 광장동  262,10.557599,20.133442,7
서울특별시 광진구 광장동  264,10.564528,20.118956,7
서울특별시 광진구 광장동  264-1,10.553619,20.137123,7
서울특별시 광진구 광장동  264-11,10.352626,20.273733,6
서울특별시 광진구 광장동  264-4,10.275151,20.331226,6
서울특별시 광진구 광장동  264-5,10.317434,20.30024,6
서울특별시 광진구 광장동  266,10.55415,20.13628,7
서울특별시 광진구 광장동  270-3,10.25877,20.341581,6
서울특별시 광진구 광장동  271-1,10.224009,20.364744,6
서울특별시 광진구 광장동  271-11,10.237218,20.35566,6
서울특별시 광진구 광장동  271-14,10.214765,20.369669,6
서울특별시 광진구 광장동  271-15,10.241192,20.35408,6
